EWRB_ID,City,Postal_Code,PrimPropTypCalc,PrimPropTypSelf,Largest_PropTyp,All_Prop_Types,Thrd_Party_Cert,WN_Sit_Elc_Int1,WN_Sit_Elc_Int2,WN_Sit_Gas_Int1,WN_Sit_Gas_Int2,WN_Sit_Gas_Int3,All_Water_Int1,All_Water_Int2,Ind_Water_Int1,Ind_Water_Int2,Site_EUI1,Site_EUI2,Source_EUI1,Source_EUI2,WN_Site_EUI1,WN_Site_EUI2,WN_Source_EUI1,WN_Source_EUI2,GHG_Emiss_Int1,GHG_Emiss_Int2,Ener_Star_Score,Ener_Star_Certs,Data_Qual_Check,Data_Qual_Date
107786,Toronto,M3A,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.205375424,5.3,0.79476414,21.30734961,1.979517426,1.817685863,0.168868532,Not Available,Not Available,0.954026969,24.62,1.159402393,29.92,0.99820206,25.76,1.203964985,31.07,37.67368887,3.5,Not Available,Not Available,No,Not Available
107787,Toronto,M3A,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.259625536,6.7,1.135377343,30.43907087,2.827882038,1.836836555,0.170647689,Not Available,Not Available,1.317502719,34,1.583328268,40.86,1.38570286,35.76,1.646878399,42.5,53.81955553,5,Not Available,Not Available,No,Not Available
107790,Toronto,M3A,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Heated Swimming Pool, Multifamily Housing, Parking",Not Available,0.25187552,6.5,0.908301875,24.3512567,2.26230563,2.366536537,0.219858424,Not Available,Not Available,1.14816487,29.63,1.401590393,36.17,1.189239955,30.69,1.43879047,37.13,45.20842664,4.2,Not Available,Not Available,Yes,2021-06-17
107795,North York,M1R,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.21312544,5.5,0.681226406,18.26344252,1.696729223,1.956222781,0.181739032,0.181739032,0.181739032,0.861026777,22.22,1.072214713,27.67,0.901714361,23.27,1.111739795,28.69,33.36812443,3.1,Not Available,Not Available,Yes,2021-05-19
107796,North York,M3A,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.275125568,7.1,0.79476414,21.30734961,1.979517426,1.963557089,0.182420411,0.182420411,0.182420411,1.012927091,26.14,1.292315167,33.35,1.057489683,27.29,1.331065247,34.35,37.67368887,3.5,Not Available,Not Available,Yes,2021-05-20
107824,Don Mills,M3A,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.344875712,8.9,0.113537734,3.043907087,0.282788204,1.303469418,0.121096264,0.121096264,0.121096264,0.495226022,12.78,0.81413918,21.01,0.509951053,13.16,0.84281424,21.75,9.687519995,0.9,Not Available,Not Available,Yes,2021-06-16
107829,Toronto,M3A,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.692505757,0.250141954,0.250141954,0.250141954,1.164052403,30.04,1.377565343,35.55,Not Available,Not Available,Not Available,Not Available,48.43759998,4.5,Not Available,Not Available,No,Not Available
107840,Toronto,M3A,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.23250048,6,0.79476414,21.30734961,1.979517426,2.602049299,0.241738275,Not Available,Not Available,1.008664582,26.03,1.243490067,32.09,1.049352166,27.08,1.281077644,33.06,39.82647109,3.7,Not Available,Not Available,Yes,2021-06-03
107843,Toronto,M5P,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Heated Swimming Pool, Multifamily Housing, Parking",Not Available,0.236375488,6.1,0.681226406,18.26344252,1.696729223,1.411854184,0.131165537,0.131165537,0.131165537,0.878076812,22.66,1.114064799,28.75,0.909851878,23.48,1.141189855,29.45,33.36812443,3.1,Not Available,Not Available,Yes,2021-06-08
107845,Toronto,M5P,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.468875968,12.1,0.340613203,9.131721261,0.848364611,2.14813716,0.19956846,Not Available,Not Available,0.79941415,20.63,1.235740051,31.89,0.829251712,21.4,1.281077644,33.06,19.37503999,1.8,Not Available,Not Available,Yes,2021-07-07
